Target,Model,accuracy_min,accuracy_max,accuracy_mean,accuracy_std,f1_weighted_min,f1_weighted_max,f1_weighted_mean,f1_weighted_std,precision_weighted_min,precision_weighted_max,precision_weighted_mean,precision_weighted_std,recall_weighted_min,recall_weighted_max,recall_weighted_mean,recall_weighted_std
HHAGE,SVM,0.38137082601054484,0.38380281690140844,0.3832223569890344,0.0006942722702949071,0.2105788021483161,0.21289825466795684,0.21234420668881687,0.000662206289313226,0.14544370693196526,0.14730460226145606,0.14685985691021625,0.0005313194707084843,0.38137082601054484,0.38380281690140844,0.3832223569890344,0.0006942722702949071
HHAGE,ADB,0.5272407732864675,0.6397188049209139,0.586874056288522,0.03290973887789785,0.5272960151273075,0.6408473951473491,0.5882132204958797,0.03303000266677389,0.5391845266625582,0.6464666081542336,0.5956387305621226,0.030956723241070738,0.5272407732864675,0.6397188049209139,0.586874056288522,0.03290973887789785
HHAGE,RFC,0.5827464788732394,0.648506151142355,0.609385442708978,0.020475338003510753,0.5612461759924045,0.6317945613129091,0.5893249296993309,0.02225977956526226,0.5914846529123067,0.6681346473657769,0.6237010081570329,0.02427599175670265,0.5827464788732394,0.648506151142355,0.609385442708978,0.020475338003510753
EMPLOYHH,LDA,0.6783831282952548,0.7240773286467487,0.7006745216465754,0.015401688364804031,0.6381217855934455,0.6803530871232731,0.6588202883638135,0.014478144284827398,0.6045400159555135,0.645040799020599,0.625091660568593,0.014427732319064105,0.6783831282952548,0.7240773286467487,0.7006745216465754,0.015401688364804031
EMPLOYHH,KNN,0.45774647887323944,0.5114235500878734,0.4813581400529716,0.016452468462545868,0.4342646751762279,0.48583043779617874,0.45667261517010915,0.016447074694397323,0.41349937862468933,0.49195384707357953,0.44283860647357975,0.02541391594414911,0.45774647887323944,0.5114235500878734,0.4813581400529716,0.016452468462545868
EMPLOYHH,CART,0.5887521968365553,0.648506151142355,0.6144907670981955,0.014909507750640597,0.5911108865153668,0.6300662473093561,0.6149212978208843,0.01227285962447241,0.5922760410786881,0.6577571549001957,0.6182313236712912,0.019613008589906868,0.5922671353251318,0.6379613356766256,0.6183587465036263,0.013878233354330635
EMPLOYHH,SVM,0.47627416520210897,0.477112676056338,0.47660956954380057,0.0004107847473292766,0.30731023516612266,0.30821820074199663,0.3076734213964722,0.0004448104729807023,0.2268370804389658,0.2276365056536401,0.22715685052483553,0.0003916367726933869,0.47627416520210897,0.477112676056338,0.47660956954380057,0.0004107847473292766
EMPLOYHH,ADB,0.6818980667838312,0.7464788732394366,0.7135158048466547,0.017197651602284487,0.6555861584948101,0.7167496827671139,0.6844781988199915,0.01698836921983684,0.6398508161644012,0.7134044697473643,0.6751518528321698,0.02011549081544257,0.6818980667838312,0.7464788732394366,0.7135158048466547,0.017197651602284487
EMPLOYHH,RFC,0.6942003514938488,0.7306338028169014,0.7080589866085794,0.011748059511969005,0.6522042729950281,0.6884216481929385,0.6654393354063888,0.011482678416342432,0.6180123642580101,0.7617823711818235,0.6511163466272214,0.04966203687685725,0.6942003514938488,0.7306338028169014,0.7080589866085794,0.011748059511969005
EDUCATION,LDA,0.3626760563380282,0.44639718804920914,0.39763638951459196,0.023276464546935615,0.30928994960208284,0.40208163940469444,0.3520460913394876,0.02589316554486545,0.3581257592904257,0.4771325530788847,0.4043063314626522,0.03520459532787265,0.3626760563380282,0.44639718804920914,0.39763638951459196,0.023276464546935615
EDUCATION,KNN,0.24956063268892795,0.3022847100175747,0.2817399564345652,0.018061413127202476,0.24137148409499806,0.287322942378282,0.2696791965614979,0.01658973611426861,0.23839020057060345,0.28544785810655743,0.26879177200385745,0.016845836515488734,0.24956063268892795,0.3022847100175747,0.2817399564345652,0.018061413127202476
EDUCATION,CART,0.27768014059753954,0.3573943661971831,0.3063726824921409,0.021944085908728407,0.2739834941490365,0.33649083678046743,0.3089618147627554,0.017446651210464646,0.2947001547468889,0.32952686638585305,0.3088386012369302,0.00998765472687127,0.28998242530755713,0.3257042253521127,0.30742654521151513,0.011938544227849481
EDUCATION,SVM,0.3321616871704745,0.3339191564147627,0.3332743384737246,0.0006656941369236136,0.16564263555466935,0.16717955130119871,0.1666154230972602,0.0005823366185998853,0.11033138642393617,0.11150200302074677,0.11107222783378268,0.00044362369831571404,0.3321616871704745,0.3339191564147627,0.3332743384737246,0.0006656941369236136
EDUCATION,ADB,0.34797891036906853,0.4077328646748682,0.3839234882051536,0.019633485632948477,0.34564559064928274,0.4077117788981206,0.38254719748045896,0.019764914694722018,0.34985948981780235,0.41435032411028855,0.38611825812376477,0.02032434098251638,0.34797891036906853,0.4077328646748682,0.3839234882051536,0.019633485632948477
EDUCATION,RFC,0.3767605633802817,0.4305799648506151,0.4002738310354216,0.01509370573184299,0.34918693472694873,0.3925694703981936,0.3706523270494534,0.013588090526612273,0.3760638287973082,0.4240789675530649,0.4061353798438542,0.012385150223338073,0.3767605633802817,0.4305799648506151,0.4002738310354216,0.01509370573184299
NHSLDMEM,LDA,0.5563380281690141,1.0,0.9552823089680438,0.13298323342923826,0.5448559299314859,1.0,0.954134099144291,0.13642781728876424,0.5778615722223313,1.0,0.9574346633733753,0.1265262624048907,0.5563380281690141,1.0,0.9552823089680438,0.13298323342923826
NHSLDMEM,KNN,0.5088028169014085,0.5571177504393673,0.5337625931334934,0.014864584373996891,0.4831343730019409,0.5316670875920186,0.5087097983077363,0.016121581914080432,0.4694219445466759,0.5281196130204084,0.49975621568634193,0.020878695061821835,0.5088028169014085,0.5571177504393673,0.5337625931334934,0.014864584373996891
NHSLDMEM,CART,0.9911971830985915,0.9964850615114236,0.9947235698903439,0.00176056938909442,0.9905865427510551,0.9974436810992171,0.9940357950212146,0.002154045721376047,0.9915395148669797,1.0,0.9947746275321061,0.0024306147216442567,0.9911971830985915,0.9964788732394366,0.9933166662541153,0.0017248763340713986
NHSLDMEM,SVM,0.36731107205623903,0.36971830985915494,0.3688012079506919,0.0010119397192342684,0.19734707984512584,0.19959086136355408,0.1987357652946801,0.0009431564696093495,0.13491742365510362,0.1366916286451101,0.1360153550078848,0.0007457389802531135,0.36731107205623903,0.36971830985915494,0.3688012079506919,0.0010119397192342684
NHSLDMEM,ADB,0.36731107205623903,0.36971830985915494,0.3688012079506919,0.0010119397192342684,0.19734707984512584,0.19959086136355408,0.19878691807685295,0.0009619975859720873,0.13491742365510362,0.1366916286451101,0.13606331683470793,0.0007642979632401005,0.36731107205623903,0.36971830985915494,0.3688012079506919,0.0010119397192342684
NHSLDMEM,RFC,0.7293497363796133,0.772887323943662,0.7567715166216986,0.012885634995964675,0.6915728725206672,0.7378319986181326,0.7229965106447509,0.014516030793381082,0.672670496001857,0.7497500754242461,0.7126083870471567,0.022208370630758676,0.7293497363796133,0.772887323943662,0.7567715166216986,0.012885634995964675
NUMADULT,LDA,0.6091549295774648,1.0,0.9607394366197182,0.11719601114698458,0.5737929941744927,1.0,0.9572032430794211,0.12780449419678824,0.5516589524225457,1.0,0.9549898389042264,0.1344446534852131,0.6091549295774648,1.0,0.9607394366197182,0.11719601114698458
NUMADULT,KNN,0.616871704745167,0.6678383128295254,0.6366481843609991,0.015060461001307033,0.5789740230340635,0.6324146362993887,0.5988749598011317,0.015606069870356261,0.5646494306997095,0.6187575686696951,0.5875915433925618,0.017838854580456885,0.616871704745167,0.6678383128295254,0.6366481843609991,0.015060461001307033
NUMADULT,CART,0.9859402460456942,0.9982425307557118,0.9934930320057427,0.003854745602833044,0.9868865074041016,0.9982473433125626,0.9930287263828326,0.003554416049257793,0.9879680951737191,0.99831279342723,0.99287233899536,0.0032703655495392565,0.9894551845342706,0.9982394366197183,0.9940215104334265,0.0026291016826952163
NUMADULT,SVM,0.5440140845070423,0.5448154657293497,0.5444949132404266,0.00039259501682022406,0.3833531405078131,0.38428394624823303,0.383911623952065,0.00045599982273646236,0.29595132414203534,0.29682389169788825,0.2964748646755471,0.00042746905558941814,0.5440140845070423,0.5448154657293497,0.5444949132404266,0.00039259501682022406
NUMADULT,ADB,0.7535211267605634,0.7869718309859155,0.7696100150993835,0.009752452271960414,0.696783984551317,0.7365098263851949,0.7123717025140733,0.011442965385858412,0.663284869787506,0.7249956185074247,0.6881400322824655,0.020515779962135355,0.7535211267605634,0.7869718309859155,0.7697857620238123,0.009832627245537332
